Image#,Blur-Teacher SSIM,Blur-Student SSIM,Blur-GT SSIM,Student-GT SSIM
6.jpg,0.9748,0.9653,0.8664,0.8880
60.jpg,0.9774,0.9815,0.8536,0.8681
61.jpg,0.9843,0.9706,0.9487,0.9509
62.jpg,0.9829,0.9700,0.8338,0.8603
63.jpg,0.9842,0.9685,0.9867,0.9790
64.jpg,0.9869,0.9856,0.9258,0.9374
65.jpg,0.9879,0.9746,0.9843,0.9690
66.jpg,0.9845,0.9753,0.9569,0.9549
67.jpg,0.9855,0.9801,0.8582,0.8683
68.jpg,0.9789,0.9582,0.9711,0.9609
69.jpg,0.9875,0.9817,0.9295,0.9394
7.jpg,0.9808,0.9702,0.9410,0.9474
70.jpg,0.9791,0.9774,0.8319,0.8556
71.jpg,0.9801,0.9650,0.9495,0.9466
72.jpg,0.9853,0.9631,0.9428,0.9347
73.jpg,0.9873,0.9759,0.9725,0.9760
74.jpg,0.9854,0.9732,0.7895,0.8015
75.jpg,0.9767,0.9630,0.9512,0.9621
76.jpg,0.9789,0.9621,0.8382,0.8445
77.jpg,0.9760,0.9752,0.7853,0.7985
78.jpg,0.8824,0.8518,0.8369,0.9702
79.jpg,0.9595,0.9290,0.9495,0.9571
8.jpg,0.9823,0.9820,0.8800,0.8939
80.jpg,0.9470,0.9187,0.9204,0.9539
81.jpg,0.8332,0.7869,0.8205,0.9556
82.jpg,0.9870,0.9751,0.9304,0.9393
83.jpg,0.9207,0.8766,0.9394,0.9584
84.jpg,0.7804,0.7314,0.6841,0.9571
85.jpg,0.9612,0.9759,0.9256,0.9474
86.jpg,0.9849,0.9576,0.9654,0.9613
87.jpg,0.9818,0.9626,0.8310,0.8468
88.jpg,0.9569,0.9484,0.8866,0.9331
89.jpg,0.9880,0.9832,0.9563,0.9626
9.jpg,0.9412,0.9135,0.8137,0.8536
90.jpg,0.9883,0.9760,0.9876,0.9789
91.jpg,0.9901,0.9692,0.9809,0.9571
92.jpg,0.9772,0.9584,0.9795,0.9703
93.jpg,0.8314,0.7575,0.8350,0.9408
94.jpg,0.7698,0.7184,0.6901,0.9587
95.jpg,0.9889,0.9743,0.9382,0.9403
96.jpg,0.9828,0.9805,0.7609,0.7751
97.jpg,0.9847,0.9804,0.8371,0.8448
98.jpg,0.9843,0.9778,0.8362,0.8723
99.jpg,0.9845,0.9832,0.8837,0.9035
